Title,Author,First Publish Year,Subjects
The prince and the dressmaker,Jen Wang,2018,"Fashion, Marriage, Dressmaking, Comic books, strips, Princes, Children's fiction, Princes, fiction, Fairy tales, Dressmakers, Cross-dressing, Individuality, Friendship, YOUNG ADULT FICTION / Comics & Graphic Novels / Historical, YOUNG ADULT FICTION / Comics & Graphic Novels / Romance, Families, Fiction, Graphic novels, Identity (Psychology), Female impersonators, Self-acceptance"
Dork Diaries 7,Rachel Renée Russell,2014,"Diary, Bands (Music), Reality television programs, Diaries, Juvenile fiction, Fiction, Sound recordings, Production and direction, Friendship, Comics & Graphic Novels, Social Themes, Humorous Stories, JUVENILE FICTION"
Pete the Cat. I Love My White Shoes,Eric Litwin,2010,"Shoes, Color, nyt:picture_books=2011-07-02, Fiction, Cats, New York Times bestseller, Singing, Stories in rhyme, Juvenile fiction, Animals, Chat domestique, Optimism, Étude et enseignement (primaire), Concepts, Livres illustr©bs pour enfants, Anglais (langue), Self-Esteem & Self-Reliance, Ouvrages pour la jeunesse, Livres illustrés pour enfants, Social Themes, Colors, ©tude et enseignement (primaire), Couleurs, Children's fiction, Cats, fiction, Shoes, fiction, Color, fiction, Singing, fiction"
Inch by inch,Leo Lionni,1960,"Juvenile fiction, Birds, Fiction, Caterpillars, Worms, Caldecott honor book, Picture books, Children's fiction, Caterpillars, fiction, Birds, fiction, collectionID:caldecotthonor60, Geometridae, Larvae, award:Caldecott_award, lexile:210, lexile_range:201-300, lexile_code:AD, age:min:2, age:max:5, grade:min:Preschool, grade:max:2"
Snow,Orhan Pamuk,2002,"Social conditions, Journalists, Fiction, Exiles, Condiciones sociales, Islam and politics, Islamic fundamentalism, Authors, Turkish, Turkish Poets, Exiliados, Ficción, Autores turcos, Poets, Turkish, Turkish Authors, Turkish literature, Hijab (Islamic clothing), Traducciones al espanol, Novela, Novela turca, Literature, Fiction, general, Journalists, fiction, Turkey, fiction, Fiction, action & adventure, Istanbul (turkey), fiction, Fiction, political, Recherche, Türkisch, Text, Muslimin, Junge Frau, Kopftuch, Roman, Geschichte 2001 ff, Journalist, Türkischer, Belletristische Darstellung, Selbstmord, Ausgabe, Young women, Muslim women, Investigations, Literary, General, Journalists--turkey--fiction, Pl248.p34 k36513 2004, 894.3533, Turkish fiction"
Big Nate Makes the Grade,David walliams,2012,"yea, Human behavior, Big Nate (Fictitious character), Middle schools, Comic books, strips, Children's fiction, Humorous stories, Schools, fiction"
Helen of Troy: Her Life and Translation Done Into Rhyme from the Greek Books,Andrew Lang,1882,"Helen of Troy (Greek mythology), Poetry, Fiction, Historical Fiction, Helen of Troy (Greek mythology) in literature, Greek Mythology, Fiction, historical, general, Poetry (poetic works by one author), In literature"
Chicken Little (Read-Aloud Storybook),RH Disney,2005,"Children: Kindergarten, Children: Grades 1-2, Juvenile fiction"
Fear Street Seniors - Graduation Day,Robert Lawrence Stine,1999,"High schools, High school students, Fiction, collectionID:FSSeniors"
The storied life of A. J. Fikry,"Gabrielle Zevin, Scott Brick",2014,"Widowers, Man-woman relationships, Bookstores, Abandoned children, Booksellers and bookselling, Fiction, Booksellers, Lost and found possessions, Book thefts, Friendship, Poetry, Toddlers, Rare books, Large type books, Fiction, psychological, Widowers, fiction, Booksellers and bookselling, fiction, Cape cod (mass.), fiction, nyt:hardcover-fiction=2014-05-04, New York Times bestseller, Relations entre hommes et femmes, Romans, nouvelles, Enfants abandonnés, Veufs, Librairies, Vol de livres, Livres rares"
A Visit to Three Fronts,Arthur Conan Doyle,1916,"World War, 1914-1918, Personal narratives, World war, 1914-1918, personal narratives, British and irish fiction (fictional works by one author)"
Each Peach Pear Plum,"Janet Ahlberg, Allan Ahlberg",1978,"Children's fiction, Stories in rhyme, Literary recreations, Juvenile fiction, Rhyme, English language, Picture books for children, Juvenile literature, Nursery rhymes, Children's stories, Picture books, Play"
The gorilla hunters,Robert Michael Ballantyne,1858,"Gorilla, Animals, Description and travel, Adventure stories, Natural history, Big game hunting, Juvenile fiction, English fiction, Hunting stories, Hunters, Fiction, action & adventure, Africa, fiction, Hunting, Blacks, Youth, Conduct of life, Nature stories, Children, Outdoor life, Islands, Survival, Camping, Shipwrecks, Shipwreck survival, Pirates, Black people, Gorille, Romans, nouvelles, etc. pour la jeunesse, Histoires de chasse, Descriptions et voyages, Travel"
The blanket of the dark,John Buchan,1931,"Fiction, Fiction, historical, general, Fiction, action & adventure, Fiction, historical, England, fiction"
The Italian's Runaway Bride,Jacqueline Baird,2001,"Fiction, Romance, Contemporary, Marriage, fiction, Passion, fiction, Pregnancy, fiction, Italians, fiction, Runaway brides, fiction"
Almuric,Robert E. Howard,1964,"Fiction, science fiction, action & adventure, Scientists, fiction, Fiction in English, Fiction, science fiction, general"
The Dare,Harley Laroux,2021,"Adult, Romance, Dark, Erotica, Fiction, bsdm, halloween, sub-dom, why choose, praise kink, degradation"
Blue Lights Hot Work In The Soudan,Robert Michael Ballantyne,1888,"Fiction, Fiction, historical, general, Africa, fiction"
Anthem,Ayn Rand,1838,"Fiction, psychological, Fiction, science fiction, general"
Jane Eyre,"Charlotte Brontë, Naunerle C. Farr",1847,"Children's fiction, Love, fiction, England, fiction"
Flatland,Edwin Abbott,1886,"Fiction, general, Fiction, science fiction, general"
Death and the king's horseman,Wole Soyinka,1975,"Drama, Yoruba (African people), Suicide, Prevention, Fathers and sons, British, History, Historical drama, Nigerian drama, Soyinka, wole, 1934-, African drama (english), Fiction (fictional works by one author), Political plays, Social life and customs, Dramaelesin, History--drama, Elesin, Pr9387.9.s6 d4 1998, 822, Fiction, general"
Lud-in-the-mist,Hope Mirrlees,1926,"Fiction, fantasy, general, Fairies, Fiction, Fiction, general, Fantasy fiction"
Moonfleet,J. Meade Falkner,1951,"Children's fiction, England, fiction, Smuggling, fiction, Fiction, action & adventure, Great britain, fiction"
That Summer,"Sarah Dessen, Sarah Dessen",1996,"Young Adult Fiction, Juvenile fiction, Weddings, Sisters in fiction, Fiction, Interpersonal relations in fiction, Interpersonal relations, Sisters, Weddings in fiction, Children's fiction, Summer, fiction, Girls, fiction, Interpersonal relations, fiction, Sisters, fiction, Marriage, fiction"
Tau Zero,Poul Anderson,1970,"Fiction, Literature, Science fiction, Interstellar travel, American Science fiction, Fiction, science fiction, general"
Jay's Journal,Beatrice Sparks,1979,"Fiction, Witchcraft, Satanism, Suicide, Diaries, Paranormal fiction, Juvenile fiction, Suicidal behavior, Teenagers, Drug use, Children's fiction, Witchcraft, fiction, Suicide, fiction, Occultism, fiction, Diaries, fiction, Fiction, general"
Matahari,Tere Liye,2016,"Fantasy, science fiction, adventure, mystery, thriller, time travel, parallel universe, love, friendship, family, destiny, self-discovery"
Harry Potter,Warner Bros. Entertainment Inc,2007,"Motion pictures, Hogwarts School of Witchcraft and Wizardry (Imaginary organization), Juvenile literature, Juvenile fiction, Pictorial works"
The Ranieri Bride,Michelle Reid,2006,"Fiction, Romance, Contemporary, Man-woman relationships, fiction, Passion, fiction, Married people, fiction, Marriage, fiction"
"Pigeon Has Feelings, Too!, The",Mo Willems,2005,"Emotions, Fiction, Emotions in fiction, Pigeons in fiction, Pigeons, Juvenile fiction, Pigeons, fiction, Children's fiction, Picture books, Emotions, fiction, Board books"
Beyond the Black River,Robert E. Howard,2007,"Fiction, fantasy, general, Fiction, fantasy, collections & anthologies, Fiction, horror, Fantasy fiction"
The Royal Book of Oz,Ruth Plumly Thompson,1921,"Fantasy, Fiction, Scarecrows, Children's fiction, Oz (imaginary place), fiction, Fantasy fiction, Adventure and adventurers, fiction, Fiction, fantasy, general"
Vanity Fair,William Makepeace Thackeray,1847,"Friendship, fiction, Fiction, satire, Married people, fiction, British and irish fiction (fictional works by one author), England, fiction"
A Witch Shall Be Born,Robert E. Howard,1975,"American Fantasy fiction, Fantasy fiction, American, Fiction, general"
Shadow of the Past,Robyn Donald,1979,"Fiction, Romance, Contemporary, Nannies,  fiction, Sheep ranchers, fiction"
Jewels of Gwahlur,Robert E. Howard,1979,"American Fantasy fiction, Conan (Fictitious character), Fantasy fiction, American, Fiction, Fiction, fantasy, general, Conan (fictitious character), fiction, Fiction, general"
"Rupert of Hentzau [by] Anthony Hope [pseud.] being the sequel to a story by the same writer, entitled The prisoner of Zenda","Anthony Hope, William Randolph Hearst, George A Van Nosdall, Charles Dana Gibson",1800,"Fiction, action & adventure, Ruritania (imaginary place), fiction, Children's fiction, Adventure and adventurers, fiction, Adventure and adventurers, Fiction, Literature, English fiction"
An Inconvenient Marriage,Diana Hamilton,1990,"Fiction, Romance, Contemporary, Fiction, general"
"Farewell, Nikola!",Guy Boothby,1901,"Fiction, general, Venice (italy), fiction"
Brave New World Revisited,Aldous Huxley,1958,"Brainwashing, Science Fiction & Fantasy, Modern History, Liberty, Fiction, Culture, Classic Literature, Propaganda, Gesellschaft, Totalitarismus, Huxley, Aldous, 1894-1963. Brave new world, Brave new world (Huxley, Aldous), Huxley, aldous, 1894-1963, Essays, Nonfiction, Propagande, Lavage de cerveau, LITERARY CRITICISM, European, English, Irish, Scottish, Welsh"
Akata witch,Nnedi Okorafor,2011,"Supernatural, Serial murderers, Magic, Albinos and albinism, Fiction, Juvenile fiction, 1000blackgirlbooks, Children's fiction, Supernatural, fiction, Magic, fiction, Blacks, fiction, Nigeria, fiction, Criminals, fiction, Paranormal fiction, Albinism, Serial killers, YOUNG ADULT FICTION / Fantasy / Contemporary, YOUNG ADULT FICTION / Mysteries & Detective Stories, YOUNG ADULT FICTION / People & Places / Africa, Murder, fiction"
Permission to Love,Penny Jordan,1985,"Fiction, Romance, Contemporary, Blended families,  fiction, English aristocracy, fiction, Man-woman relationships, fiction"
When the Sleeper Wakes,H. G. Wells,2002,"Fiction, science fiction, general, British and irish fiction (fictional works by one author)"
Alice or the Mysteries,"Edward Bulwer Lytton, Baron Lytton",1838,"Fiction, romance, historical, general, England, fiction, British and irish fiction (fictional works by one author), Fiction, occult & supernatural, Fiction, romance, general"
Violet Bent Backwards Over the Grass,Lana Del Rey,2020,"Poetry, nyt:combined-print-and-e-book-fiction=2020-10-18, New York Times bestseller, Poetry (poetic works by one author)"
Trinity,Leon Uris,1976,"Famines, Fiction, Fiction in English, History, Sinn Fein Rebellion, 1916, Fiction, historical, Fiction, war & military, Ireland, history, easter rising, 1916, fiction, Ireland, fiction, Fiction, historical, general"
The Source of Magic,Piers Anthony,1979,"Fantasy, Fiction, Xanth (Imaginary place), Fantasy fiction, Xanth (imaginary place), fiction, Fiction, fantasy, general"
The Fear Street Saga - The Betrayal,Robert Lawrence Stine,1993,"Horror tales, Horror stories, Fiction, Witchcraft, collectionID:FSSaga, Children's fiction, Massachusetts, fiction, Witchcraft, fiction"
Hound of the Baskervilles,"Arthur Conan Doyle, Althos Low",1902,"England, fiction, Holmes, sherlock (fictitious character), fiction, Fiction, mystery & detective, general, Private investigators, fiction"
Black Colossus,Robert E. Howard,1933,"American Fantasy fiction, Conan (Fictitious character), Fantasy fiction, American, Fiction"
The Giant Of The North Or Pokings Around The Pole,Robert Michael Ballantyne,1881,"Fiction, action & adventure, Fiction, historical, general"
A Knight of the Nineteenth Century,Edward Payson Roe,1877,"Fiction, historical, general, Classic Literature, Fiction"
Dr. Nikola Returns,Guy Boothby,1976,"Fiction, mystery & detective, general, Fiction, general"
Half Bad (The Half Bad Trilogy),Sally Green,2015,"Toleration, Young adult fiction, Prisoners, Fathers and sons, Family life, Witches, Fiction, Good and evil, Children's fiction, Witches, fiction, Good and evil, fiction, Family life, fiction, Fathers and sons, fiction, England, fiction"
Textplus - New Grub Street,"George Gissing, edibooks, George Gissing",1891,"Fiction, Journalists, Authors, English Authors, Authorship, Social life and customs, British and irish fiction (fictional works by one author), England, fiction, Journalists, fiction, Fiction, psychological, Authors, fiction, Authors and publishers, Man-woman relationships, Fiction, general, London (england), fiction, English literature, Intellectual life, Manners and customs, Authors -- Fiction, London (England) -- Fiction, Psychological fiction, Man-woman relationships -- Fiction, Journalists -- Fiction, Authors and publishers -- Fiction, Fiction, historical, general, Great britain, social life and customs, fiction"
Physics of the Impossible,Michio Kaku,2008,"Miscellanea, Physics in literature, Mathematical physics, Science, Physics, Human-machine systems, Science, miscellanea, Science in literature, nyt:paperback-nonfiction=2009-05-03, New York Times bestseller, Physics in Literature, Human-Machine Systems, Phaenomene, Parapsychologie, Science-Fiction, Science fiction, Physik, Zeitreise, Antimaterie, Perpetuum mobile, Prognose, Discoveries in science, Forecasting, Technological innovations"
The Daydreamer,Ian McEwan,1994,"Imagination, Juvenile fiction, Fiction, Family, Family life, Families, Children's fiction, Imagination, fiction, Family life, fiction, Rêves, Famille, Romans, Novela inglesa"
Dark tyrant,Helen Bianchin,1984,"Fiction, Married people, Married people, fiction, Australia, fiction, Large type books"
